Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,Collection Folder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
BKD 511,Jamaica Girls,Rock The Beat,Becket Records,"12"", Promo",,1982,1134613,priced,2010-11-12 21:36:51,,,
BZC 4418,Dillinger,Cocaine In My Brain / Funky Punk,Bellaphon,"12"", Maxi",,1979,1268213,priced,2010-12-16 11:23:40,,,
NEO12053,Blaze Featuring Palmer Brown,My Beat,Black & Blue,"12""",,2001,25232,priced,2010-12-04 19:13:04,,,
BP 004,Didier Marouani & Space,Running In The City (Remix),Black Pepper,"12""",,2008,1562103,priced,2010-12-17 13:42:58,,,
PAL-7141-DJ,Cory Daye,I've Cried (Too Many Tears),Blue Chip Records (2),"12"", Promo",,1987,1347455,priced,2010-11-13 00:04:17,,,
BR 5003,Akabu (2),Watch Yourself,Body Rock Records,"12""",,1984,360624,priced,2010-11-19 00:10:22,,,
BPC 031.1,Various,Berlin 2001 Compilation,BPitch Control,"12""",,2001,232671,priced,2010-11-18 00:50:53,,,
0060.353,Klaus Schulze,Dig It,Brain,"LP, Album",,1980,87151,priced,2010-12-21 09:41:14,,,
0040.148,Edgar Froese,Electronic Dreams,"Brain, Rock On Brain","LP, Comp",,1979,667259,priced,2010-11-12 22:20:49,,,
BRUTLP03,Dom Thomas*,Synthetic Soul And Other Junk,Brutal Music,LP,4,2010,2560790,not priced,2010-11-22 21:58:46,,,
"brutlp02, none",Dom Thomas*,The Exploding Disco Inevitable ,"Brutal Music, B-Music","2xLP, Comp",,2010,2325894,priced,2010-11-12 20:56:57,Mint (M),Near Mint (NM or M-),
BLULP 1817,Crazy Gang,We Are The Crazy Gang,Bubble (4),"LP, Album, RE",,2009,1677179,priced,2010-11-12 23:53:22,,,
BB026,Cluster,Grosses Wasser,Bureau B,"LP, Album, RE",,2009,1799190,priced,2010-11-12 21:53:04,,,
BB28,Roedelius*,Durch Die Wüste,Bureau B,"LP, Album, RE",,2009,1908887,priced,2010-12-17 13:45:10,,,
BZZXL 106071,Sueño Latino,Sueño Latino (Derrick May Remixes),Buzz,"12""",,1992,145681,priced,2010-11-13 00:54:51,,,
C.O.M.B.i. G/H,Unknown Artist,Keep A Burning / Stone Waters,C.O.M.B.i.,"12"", Unofficial",,2009,1683006,priced,2010-11-12 20:55:06,,,
C.O.M.B.i. I/J,Unknown Artist,Tangled / P.G.B.,C.O.M.B.i.,"12"", Unofficial",,2009,1875441,priced,2010-11-13 02:24:23,,,
CTT 01,Dream III,Feel,C.T. Records,"12""",,1989,136630,priced,2010-11-19 00:31:28,,,
CAB 010,Earth People,Dance,Cabaret,"12""",,2003,190044,priced,2010-11-17 23:32:17,,,
CAJ 200,Cajmere Featuring Dajae* / Cajmere Featuring Derrick Carter,Brighter Days / Dreaming EP,Cajual Records (2),"12"", EP, Unofficial",,2009,1975826,priced,2010-11-18 23:36:51,,,
S11-56854,Kraftwerk,The Man Machine,Capitol Records,"LP, Album, RE",,1993,57161,priced,2010-11-12 21:51:59,,,
AL 34899,James Vincent,Waiting For The Rain,Caribou Records,LP,,1978,1560831,Uncategorized,2011-03-12 13:54:27,,,
CRPK 024 LP,Dinky,Blackcabaret,Carpark Records,"2x12"", Album",,2003,603862,priced,2010-11-18 01:30:54,,,
CART 269,Valery Allington,Stop,Carrere,"12""",,1983,325577,priced,2010-12-16 11:12:11,,,
CAL.2028,Patrick Juvet,Got A Feeling,Casablanca Records,"LP, Album",,1978,2088685,not priced,2010-12-18 13:54:32,,,
NBLP 7065,Giorgio*,From Here To Eternity,Casablanca Records,"LP, Album",,1977,28229,priced,2010-11-12 23:54:52,,,
NBLP 7126 DJ,Giorgio*,"Music From ""Battlestar Galactica"" And Other Original Compositions From Giorgio Moroder",Casablanca Records,"LP, Promo",,1978,1523438,not priced,2010-11-12 23:19:28,,,
CAT 2006,Gary Low,I Want You,CAT Record,"12""",,1983,326735,priced,2010-11-12 23:55:34,,,
FSP-21001,Paul Speer,Collection 983: Spectral Voyage,Catero Records,LP,,1984,2202070,not priced,2010-11-12 20:49:23,Near Mint (NM or M-),Near Mint (NM or M-),
CNF 025,Giorgio Moroder,From Here To Eternity,Caus-N'-ff-ct,"2x12""",,1999,165492,priced,2010-11-18 01:37:55,,,
CBS 83699,Cerrone,Brigade Mondaine,CBS,LP,,1979,312238,priced,2010-12-22 22:37:28,,,
FM 42255,Andreas Vollenweider,Down To The Moon,CBS,"LP, Album",,1986,892836,Uncategorized,2011-05-01 09:11:28,,,
"S CBS  8304, 8304",Nina Hagen Band,African Reggae,"CBS, CBS","7"", Single",,1980,1244554,not priced,2010-11-12 22:38:09,,,
CEL 176,Time Zone,World Destruction,Celluloid,"12""",,1984,52836,priced,2010-12-04 19:44:20,,,
FIZY 1002,Massara*,"Margarita (Mamma, Oh Mamma)",Champagne Records (5),"12""",,1979,1204994,priced,2010-12-21 09:39:33,,,
C83001,Channel 83,Tonight,Channel 83,"12""",,2009,1854480,priced,2010-11-12 16:48:47,Near Mint (NM or M-),Near Mint (NM or M-),
CP 118,Data-Control,Dance To The Drummers Beat,Checkpoint Records,"12""",,1986,1638288,not priced,2011-01-29 20:48:43,,,
COSR07,Le Tigre,Remixes,Chicks On Speed Records,"12""",,2002,124096,priced,2010-11-18 01:29:14,,,
SCIFI005,Arthur's Landing,Is It All Over My Face,Chinatown Records,"12""",,2010,2590748,not priced,2010-12-17 13:40:34,,,
"CHS 12 2639, CHS12 2639",Ultravox,Reap The Wild Wind,"Chrysalis, Chrysalis","12"", Single",,1982,360897,priced,2010-11-18 02:18:26,,,
CITYROCK1LP,Felix Da Housecat,Kittenz And Thee Glitz,City Rockers,"2xLP, Album",,2001,133737,priced,2010-11-18 01:23:59,,,
C56024,Holger Czukay,My Persian Love,Claremont 56,"12"", Ltd, Gol",,2010,2432882,not priced,2010-11-12 20:33:05,Mint (M),Mint (M),
C#55,I-f Ft. Fred Ventura / Fred Ventura,I Cut My Heart Out / I'm Not Ready,Clone,"12"", Whi",,2009,1657543,priced,2011-02-14 19:04:16,,,
CWCS 01,"Tyrell Corporation, The",Together Alone,Clone West Coast Series,"12""",,2009,1841301,priced,2010-11-17 21:45:38,,,
CMP81282,Jackie Z,Kalimba De Lun,CMP Records,"12""",,0,2542346,not priced,2010-11-12 23:52:49,,,
"0930.027, 0703.970",Max 'N Specs,Don't Come Stoned And Don't Tell Trude!,"CNR Records, CNR Records","12"", Maxi",,1980,1497965,priced,2010-12-22 22:28:28,,,
44-05203,Lisa-Lisa And Cult Jam* With Full Force,I Wonder If I Take You Home,Columbia,"12""",,1984,185592,priced,2010-12-04 19:48:11,,,
AS  602,Gary's Gang,Let's Lovedance Tonight / Showtime,Columbia,"12"", Promo",,1979,539543,priced,2010-11-12 22:58:52,,,
"44 07890, 44-07890-S1, 44-07890-S2",Raze,Break 4 Love,"Columbia, Columbia, Columbia","12""",,1988,70133,priced,2010-11-18 22:14:51,,,
"AL 32731, BL 32731, KC 32731",Herbie Hancock,Head Hunters,"Columbia, Columbia, Columbia","LP, RE, Album",,0,1463801,priced,2010-12-18 12:09:13,,,
COSMICS2,Various,Cosmic Surfin' 2: In Search Of The Perfect Wave,Cosmic Surfin',"12"", RE, Unofficial",,2009,1946933,priced,2010-11-13 01:00:33,,,
Crème LP-07,Galaxy Toobin' Gang*,Galaxy Toobin',Crème Organization,LP,,2008,1385590,priced,2010-11-17 20:57:20,,,
CREME 12-45,Galaxy Toobin',Thing Are Looking Up,Crème Organization,"12""",,2009,1921014,priced,2010-11-13 02:11:20,,,
CRAMBOY 1010,Tuxedomoon,Half-Mute,Cramboy,"LP, Album",,1985,644485,priced,2010-11-18 02:22:21,,,
CRAM 055,Minimal Compact,The Figure One Cuts,Crammed Discs,"LP, Album",,1987,260575,not priced,2010-11-18 02:21:44,,,
CRELP 081,Various,Keeping The Faith (A Creation Dance Compilation),Creation Records,"2xLP, Album, Comp",,1991,198931,priced,2010-12-18 13:45:44,,,
CREATIVE USE 007,Unknown Artist,Down To The Sea & Back,Creative Use,"12"", Ltd",,2010,2188134,priced,2010-11-13 02:12:55,,,
337 702,Revelacion,The House Of The Rising Sun,Crocos Records,"LP, Album",,1977,83245,priced,2010-12-20 10:01:35,,,
CLCL1213,Crue-L Grand Orchestra,(You Are) More Than Paradise (Theo Parrish Translation),Crue-L Records,"12""",,2010,2421318,priced,2010-11-12 20:31:20,Near Mint (NM or M-),Near Mint (NM or M-),
"2028, ",Derrick Harriott,Jesus Was Born Today,"Crystal Records, ","12""",,1982,2847684,Uncategorized,2011-04-25 20:21:31,,,
CTI 6063,Bob James,Three,CTI Records,"LP, Album",,1976,1392252,priced,2011-02-14 19:05:08,,,
Cyber Dance 005,Various,Somewhere Out On The Nightside,Cyber Dance Records,"12""",,2009,2019373,priced,2010-11-17 21:19:53,,,
DJ  777,J.M. Silk,Shadows Of Your Love,D.J. International Records,"12"", Pic",,1986,55722,priced,2010-11-18 21:56:35,,,
DJ  892,Fingers Inc.,Mystery Of Love,D.J. International Records,"12""",,1986,2558,priced,2010-11-18 21:59:09,,,
DJ 1010,Various,Chicago Sound: House Music Vol. II,D.J. International Records,"LP, Comp",,1986,55878,priced,2010-11-18 21:57:22,,,
DJ 1018,Joe Smooth,Promised Land,D.J. International Records,"LP, Album",,1988,13679,priced,2010-11-12 21:05:48,Very Good Plus (VG+),Very Good Plus (VG+),
DEP-1001,Tictoc,20 Questions,Dallcorte Records,"12""",,1983,1844479,not priced,2010-11-13 00:39:12,,,
DB 023,DJ Godfather / DJ Nasty,Down Low Vol.1 Compilation,Databass Records,"12""",,2001,73500,priced,2010-11-18 00:59:23,,,
DEP-2013,Kool & The Gang,Wild And Peaceful,De-Lite Records,"LP, Album",,1973,978847,priced,2011-02-14 19:06:23,,,
dfa0117,Yura Yura Teikoku,Dekinai,Death From Abroad,"12""",,2010,2208875,not priced,2010-11-17 21:10:57,,,
DECKS CLASSIX 004,Romanthony,The Wanderer,Decks Classix,"12"", RE, RM",,2009,2060540,priced,2010-11-22 22:00:20,,,
DECKS CLASSIX 011,Romanthony,Let Me Show You Love,Decks Classix,"12"", RE, RM",,2010,2561217,not priced,2011-01-02 17:04:52,,,
DFN80010,Home Video,No Certain Night Or Morning,Defend Music Inc.,"LP, Album",,2006,840185,priced,2010-11-17 21:00:25,,,
XDEF-141,Rockets,Rockets,Deram,"LP, Album",,1976,771190,priced,2010-12-16 11:19:16,,,
dfa2208,Capracara,King Of The Witches,DFA,"12""",,2009,1666891,priced,2010-11-17 21:45:54,,,
dfa2211,Ray Mang,Bullet Proof,DFA,"12""",,2010,2127348,priced,2010-11-13 01:01:06,,,
dfa2232,Still Going,Spaghetti Circus / Untitled Love,DFA,"12""",,2009,1895052,priced,2010-11-17 20:58:10,,,
dfa2238,Peter Gordon & Love Of Life Orchestra,Another Heartbreak / Don't Don't Redux,DFA,"12""",,2010,2262869,priced,2010-11-17 21:51:03,,,
dfa2241,"Crystal Ark, The",The City Never Sleeps,DFA,"12""",,2010,2217657,not priced,2010-11-12 20:52:29,Near Mint (NM or M-),,
DFAEMI2228,LCD Soundsystem,"45:33 Remixes By: Padded Cell, Prince Language",DFA,"12""",,2009,1958392,priced,2010-11-17 21:21:27,,,
DGC12-22300,Beck,The New Pollution,DGC,"12""",,1997,71643,priced,2010-11-17 23:11:14,,,
DB4W-034,Aux 88,"Play It Loud (The 12"" Mixes)",Direct Beat,"12""",,1998,2958,priced,2010-12-04 19:41:00,,,
MIX 678,El Mandamas,Muevelo,Discomagic Records,"12""",,1992,2281211,not priced,2010-11-13 00:23:57,,,
MIX  236,Plastic Mode,Baja Imperial,Discomagic Records (2),"12"", Unofficial",,2009,1806233,priced,2010-11-13 00:01:25,,,
Disco Uno (001),Grackle,Jungle,Discos Capablanca,"12"", Ltd",,2008,1346405,priced,2010-11-12 16:53:42,,,
DQFDV013,Atmosfear,En Trance,Discotheque (2),2xLP,,2005,553389,priced,2010-12-18 13:07:11,,,
DISKO 7005,"Glimmers, The Presents Disko Drunkards, The",Picture,Diskimo,"7"", Ltd",,2009,1957139,priced,2010-11-12 22:36:56,,,
db  99,Merricks,2,Disko B,"12""",,2001,58529,priced,2010-11-18 01:34:36,,,
SUSHI 20,Crue-L Grand Orchestra / SR Smoothy,Time & Days / Inside Of You,Disorient,"12""",,1999,15181,priced,2010-12-18 13:44:33,,,
DS 004,Visitors,Ledger,Disques Sinthomme,"12""",4,2010,2450387,not priced,2010-11-13 01:06:19,,,
DJS 156,"It, The / Santos (3) / Virgo*",Donnie / Beat The Knuckles / Do You Know Who You Are,DJ Classic Mastercuts,"12"", Unofficial",,2009,1832990,priced,2010-11-18 22:17:48,,,
DJAX-UP-177,Robert Armani,The Remixes,Djax-Up-Beats,"2x12""",,1993,1446,priced,2010-11-18 00:16:26,,,
DJAX-UP-287,Steve Poindexter,Demolition Man,Djax-Up-Beats,"12""",,1997,17134,priced,2010-11-18 00:16:56,,,
DJAX-UP-296,DJ Rush,Marathon Man,Djax-Up-Beats,"12""",,1998,8582,priced,2010-11-18 00:22:35,,,
DJAX-UP-315,Steve Poindexter,Rise,Djax-Up-Beats,"12""",,1999,17274,priced,2010-11-18 00:23:22,,,
DJAX-UP-317,DJ Rush,Swingin' Da Drums,Djax-Up-Beats,"12""",,1999,17276,priced,2010-11-18 00:22:06,,,
DJAX-UP-320,Justin Berkovi,01273 Noir,Djax-Up-Beats,"12""",,1999,8723,priced,2010-11-18 00:20:26,,,
DJAX-UP-323,Claude Young,Pattern Buffer 05 - Fear Of Eternity,Djax-Up-Beats,"12""",,2000,8725,priced,2010-11-18 01:10:17,,,
DJAX-UP-325,DJ Rush,Breakthrough,Djax-Up-Beats,"12""",,2000,5006,priced,2010-11-18 00:24:18,,,
DJAX-UP-326,Stephen Brown,Real Shit,Djax-Up-Beats,"12""",,2000,1161,priced,2010-11-18 00:17:28,,,
DJAX-UP-329,Ruben A*,Ladies Delight,Djax-Up-Beats,"12""",,2000,8728,priced,2010-11-18 00:23:00,,,
DJAX-UP-336,DJ Rush,Mental Problems,Djax-Up-Beats,"12""",,2001,2955,priced,2010-11-18 00:24:46,,,
DJAX-UP-339,Elektrosmog,Swiss Invader,Djax-Up-Beats,"12""",,2001,13906,priced,2010-11-18 00:19:54,,,
"DJF 20579, none",Klaus Schulze,Trancefer,"DJM Records (2), Innovative Communication","LP, Album",,1981,2135408,not priced,2010-12-18 12:32:18,,,
MMLLP023,Derrick Carter,The Cosmic Disco,DMC Publishing,"3xLP, Comp",,1997,33305,priced,2010-12-04 19:11:08,,,
DW-052,Kenny Dope*,Powerhouse 3,Dopewax,"12""",,2000,96131,priced,2011-01-11 20:46:25,,,
www001,Jihad Muhammad,Asahikawa,Downtown 161,"12""",,2006,633392,priced,2010-11-19 00:22:56,,,
DROHM 007,Moby,Everytime You Touch Me,Drohm,"12""",,1995,143755,priced,2010-12-04 18:57:55,Very Good Plus (VG+),Very Good Plus (VG+),
DYF 004,Orbit (Re-oRbiT)* Featuring Carol Hall,The Beat Goes On,Dunk Yer Funk Records,"12"", Ove",,0,1207507,not priced,2010-11-12 21:48:30,,,
EGMDX1.01,Killing Joke,Follow The Leaders,E'G Records,"10"", Single",,1981,447483,priced,2010-11-20 21:21:46,,,
ROXYX 5,Roxy Music,Take A Chance With Me / The Main Thing - Dance Mix,E'G Records,"12""",,1982,861805,Uncategorized,2011-04-25 20:12:40,,,
"AMB 001, 2310647",Brian Eno,Ambient 1 Music For Airports,"E'G Records, Polydor","LP, Album",,1978,125776,priced,2010-11-12 22:19:56,,,
"EA 33183, 83373, 83374",Miroslav Vitous,New York City,"East End Music, East End Music, East End Music","12""",,2009,1654668,priced,2010-11-13 00:30:56,,,
EZS-7551,Cultural Vibe,Ma Foom Bey/Syntanjey,Easy Street Records,"12""",,1989,197270,priced,2010-11-18 21:38:52,,,
ECHOISM 006,Aux 88,Mad Scientist Remixes Vol. 1,Echoism,"12""",,2010,2330064,priced,2010-11-13 00:11:13,,,
ECM-1-1073,Pat Metheny,Bright Size Life,ECM Records,"LP, Album",,1976,2136572,Uncategorized,2011-03-12 13:57:37,,,
"ED 007, 6139566",Zongamin,Bongo Song,"Ed Banger Records, Discograph","12""",,2005,536721,priced,2010-11-17 21:43:23,,,
ETS005,Various,Discotech,Electunes,"LP, Comp",,2007,1298807,priced,2010-11-12 20:33:36,Mint (M),Mint (M),
0-67988,"Denny Randell And Rockophonic Orchestra, The",Themes From E.T. (The Extra-Terrestrial),Elektra,"12"", Promo, Hal",,1982,1420630,not priced,2010-12-04 19:26:40,,,
6E-193,Supermax,Fly With Me,Elektra,"LP, Album",3,1979,736658,priced,2010-11-12 15:04:18,,,
AS-11412,Sparks,Tryouts For The Human Race / Beat The Clock,Elektra,"12""",,1979,54996,priced,2010-11-12 23:27:54,,,
ED 4977,Robert Görl,Darling Don't Leave Me,Elektra,"12"", Promo",,1984,1855368,not priced,2010-11-18 02:12:04,,,
ED 5222,"Cure, The",Why Can't I Be You?,Elektra,"12"", Promo",,1987,1191340,priced,2010-11-18 02:16:03,,,
ED 5450,Happy Mondays,Hallelujah,Elektra,"12"", Promo",,1990,513141,priced,2010-11-13 02:28:52,,,
"60206-1, 60206",Material,One Down,"Elektra, Asylum Records","LP, Album",,1982,1263470,priced,2010-11-12 23:05:14,,,
"9 60957-1, ST-E-60957",Deee-Lite,World Clique,"Elektra, Elektra","LP, Album",,1990,1016561,priced,2010-11-20 21:11:57,,,
EMDS 6512,Kano,It's A War / Ahjia,Emergency Records,"12""",,1980,93468,priced,2010-11-12 23:09:13,,,
EMDS 6515,Firefly (2) / Kano,Love (Is Gonna Be On Your Side) / I'm Ready,Emergency Records,"12"", RE",,2006,712787,priced,2010-11-13 00:05:13,,,
EMDS 6516,Kano,Now Baby Now / Super Extra Sexy Sign,Emergency Records,"12"", Promo",,1980,1800937,priced,2010-11-12 23:56:37,,,
EMDS 6529,Touché (4),Wrap It Up,Emergency Records,"12"", Promo",,1982,1156793,priced,2010-12-04 19:28:09,,,
EMDS 6533,Bo Boss,Tequila,Emergency Records,"12"", Promo",,1982,1235264,priced,2011-01-29 20:46:35,,,
EMDS 6541,Xēna*,On The Upside,Emergency Records,"12""",,1983,69604,priced,2010-12-06 22:40:29,,,
EMDS 6542,Shannon,Give Me Tonight,Emergency Records,"12""",,1984,69599,priced,2010-12-06 22:45:41,,,
062-20 0396-6,Talking Heads,Once In A Lifetime,EMI,"12""",,1984,175401,priced,2010-12-07 20:45:30,,,
12EMDJX 548,G*,Mi Chico Latino,EMI,"2x12"", Promo",,1999,154655,priced,2010-11-18 00:41:54,,,
EMC 3403,Logic System,Venus,EMI,LP,,1982,335873,priced,2010-12-22 22:30:56,,,
V-7831,Jellybean*,The Mexican,EMI America,"12""",,1984,207612,priced,2010-12-04 19:49:18,,,
"12 EA 190, 12EA 190",David Bowie / Pat Metheny Group,"This Is Not America (Theme From The Motion Picture, The Falcon And The Snowman)","EMI America, EMI America","12"", Single",,1985,2006506,not priced,2010-11-13 00:38:03,,,
MLT-46999,Cabaret Voltaire,Code,EMI-Manhattan Records,"LP, Album",,1987,56311,priced,2010-11-12 16:47:34,Very Good Plus (VG+),Very Good Plus (VG+),
endless flight 23,KZA,Dig And Edit (Remixed),Endless Flight,"12""",,2010,2218922,priced,2010-11-13 00:48:28,,,
"0-75543, 12 MUTE 102",Renegade Soundwave,Probably A Robbery / Space Gladiator,"Enigma Records (3), Enigma Records (3)","12""",,1990,198714,priced,2010-11-12 21:48:04,,,
ENV 011,Metro Area,Metro Area 3,Environ,"12""",,2001,6865,priced,2010-12-18 12:06:37,,,
ENVUN05,Victor (2),Unclassics #5,Environ,"12""",,2005,473231,priced,2010-11-12 22:59:24,,,
49 79564,Mirwais,Naïve Song,Epic,"12""",,2000,76576,priced,2010-11-18 01:44:24,,,
KE2 36888,Heart,Greatest Hits / Live,Epic,2xLP,,1980,1326437,priced,2010-11-13 00:28:11,,,
"49 68875, 49-68875-S1",Lil Louis*,French Kiss,"Epic, Epic","12"", Single",,1989,76775,priced,2010-12-04 18:56:28,Very Good Plus (VG+),Generic,
EZ-020,Various,Misery Loves Company,Ersatz Audio,2xLP,,2002,47987,priced,2010-11-18 01:36:26,,,
541416 501166,Various,Paradisco 3000 : Chicago Boogie Sampler 1/4,Eskimo Recordings,"12"", Smplr, Comp",,2004,253563,priced,2010-11-18 21:27:39,,,
541416 501539,L.S.B.,Original Highway Delight,Eskimo Recordings,"12""",,2006,842422,priced,2010-11-17 21:51:58,,,
541416 501782,Prins Thomas,Cosmo Galactic Prism Part 2/2,Eskimo Recordings,"12"", Comp",,2007,999634,priced,2010-11-17 21:50:32,,,
541416 502825,Peter Visti,Late Nite Balearic Monster,Eskimo Recordings,"12""",,2009,1781225,Uncategorized,2011-05-01 09:13:47,,,
ESP.001,Sombrero Galaxy (2),Journey To The Centre Of The Sun,ESP Institute,"12""",5,2010,2158059,priced,2010-11-12 14:51:05,,,
EHC 02,Various,Essential House Classics Vol. II,Essential House Classics,"12""",,2003,308790,Uncategorized,2011-04-25 20:13:05,,,
